,nets
0,34
1,146
2,120
3,28
4,208
5,162
6,268
7,140
8,199
9,136
10,296
11,286
12,198
13,141
14,10
15,202
16,23
17,272
18,234
19,217
20,294
21,96
22,65
23,172
24,227
25,280
26,147
27,271
28,134
29,81
30,6
31,206
32,295
33,82
34,32
35,19
36,87
37,261
38,181
39,79
40,58
41,13
42,223
43,254
44,236
45,16
46,52
47,108
48,115
49,278
50,195
51,275
52,264
53,27
54,160
55,50
56,171
57,30
58,107
59,176
60,138
61,239
62,253
63,240
64,47
65,212
66,299
67,259
68,24
69,203
70,26
71,38
72,106
73,214
74,44
75,5
76,85
77,31
78,70
79,66
80,173
81,229
82,228
83,241
84,57
85,126
86,211
87,121
88,165
