,nets
0,245
1,227
2,132
3,127
4,130
5,286
6,290
7,175
8,197
9,160
10,216
11,187
12,74
13,122
14,59
15,129
16,119
17,294
18,117
19,153
20,194
21,253
22,136
23,230
24,89
25,212
26,171
27,221
28,168
29,254
30,256
31,29
32,207
33,269
34,222
35,279
36,166
37,182
38,126
39,41
40,198
41,94
42,14
43,128
44,163
45,193
46,91
47,62
48,43
49,195
50,244
51,148
52,1
53,100
54,246
55,164
56,118
57,289
58,86
59,32
60,236
61,20
62,188
63,30
64,205
65,268
66,37
67,217
68,248
69,165
70,21
71,35
72,113
73,105
74,109
75,8
76,52
77,93
78,34
