,nets
0,59
1,49
2,241
3,181
4,23
5,150
6,189
7,25
8,26
9,158
10,282
11,206
12,52
13,186
14,227
15,144
16,260
17,8
18,116
19,204
20,74
21,40
22,122
23,73
24,101
25,243
26,14
27,90
28,107
29,123
30,129
31,119
32,246
33,132
34,38
35,275
36,253
37,85
38,265
39,13
40,173
41,274
42,146
43,184
44,284
45,250
46,46
47,185
48,112
49,18
50,76
51,169
52,239
53,294
54,263
55,63
56,258
57,280
58,163
59,55
60,187
61,225
62,32
63,283
64,164
65,11
66,98
67,133
68,94
69,161
70,12
71,60
72,235
73,1
74,279
75,200
76,270
77,120
78,126
79,22
80,289
81,45
