,nets
0,3
1,146
2,173
3,110
4,139
5,269
6,144
7,31
8,93
9,263
10,257
11,119
12,12
13,40
14,153
15,239
16,200
17,15
18,201
19,244
20,175
21,74
22,102
23,124
24,251
25,152
26,242
27,22
28,122
29,91
30,227
31,164
32,113
33,199
34,33
35,266
36,82
37,237
38,184
39,46
40,183
41,194
42,272
43,26
44,208
45,71
46,274
47,241
48,98
49,198
50,99
51,89
52,142
53,66
54,211
55,284
56,265
57,155
58,261
59,154
60,158
61,58
62,222
63,43
64,282
65,8
66,84
67,20
68,57
69,65
70,161
71,298
72,280
73,78
74,4
75,179
76,205
77,245
78,279
79,135
80,54
81,138
82,230
83,76
84,160
85,125
86,168
87,163
88,172
89,106
90,107
91,100
92,195
93,224
94,87
95,28
96,69
97,111
98,203
