,nets
0,77
1,80
2,241
3,156
4,121
5,134
6,253
7,165
8,78
9,18
10,187
11,101
12,41
13,246
14,259
15,270
16,199
17,287
18,37
19,47
20,276
21,33
22,271
23,166
24,227
25,133
26,71
27,203
28,148
29,159
30,69
31,67
32,139
33,155
34,54
35,29
36,209
37,2
38,48
39,181
40,94
41,93
42,126
43,257
44,247
45,130
46,143
47,158
48,23
49,49
50,83
51,278
52,62
53,88
54,125
55,141
56,250
57,225
58,170
59,201
60,89
61,295
62,75
63,127
64,281
65,8
66,26
67,3
68,16
69,15
70,36
71,12
72,202
73,272
74,34
75,152
76,103
77,191
78,98
79,243
80,27
81,132
82,68
83,240
84,282
85,274
86,145
