,nets
0,84
1,280
2,198
3,197
4,140
5,241
6,289
7,250
8,279
9,69
10,165
11,31
12,86
13,11
14,15
15,290
16,200
17,199
18,173
19,142
20,78
21,260
22,239
23,176
24,224
25,188
26,144
27,43
28,3
29,21
30,154
31,223
32,275
33,85
34,221
35,79
36,208
37,292
38,40
39,220
40,102
41,65
42,266
43,9
44,164
45,272
46,287
47,51
48,17
49,77
50,278
51,2
52,36
53,123
54,183
55,111
56,236
57,128
58,38
59,293
60,148
61,171
62,217
63,114
64,159
65,20
66,170
67,136
68,1
69,25
70,33
71,194
72,268
73,105
74,161
75,248
76,209
77,6
78,204
79,61
80,181
81,141
82,185
83,100
84,229
85,119
86,150
87,203
88,88
89,115
90,73
91,143
92,298
93,158
94,103
95,81
