,nets
0,199
1,84
2,243
3,39
4,126
5,9
6,205
7,224
8,75
9,138
10,105
11,61
12,231
13,20
14,241
15,31
16,48
17,280
18,125
19,281
20,73
21,257
22,256
23,172
24,15
25,26
26,263
27,96
28,42
29,271
30,159
31,114
32,286
33,230
34,62
35,299
36,91
37,70
38,229
39,140
40,60
41,191
42,268
43,133
44,157
45,108
46,204
47,94
48,292
49,261
50,1
51,206
52,7
53,288
54,176
55,97
56,115
57,120
58,6
59,247
60,285
61,117
62,182
63,282
64,136
65,294
66,152
67,210
68,113
69,163
70,297
71,112
72,36
73,83
74,34
75,227
76,158
77,207
78,186
79,279
80,201
81,237
82,171
83,284
84,122
85,190
86,179
87,137
88,154
89,107
90,192
91,71
92,178
