,nets
0,211
1,297
2,264
3,63
4,215
5,153
6,271
7,24
8,97
9,26
10,122
11,9
12,130
13,222
14,160
15,59
16,198
17,103
18,241
19,277
20,191
21,104
22,91
23,141
24,133
25,275
26,43
27,40
28,78
29,139
30,113
31,73
32,123
33,23
34,248
35,64
36,50
37,201
38,114
39,176
40,27
41,278
42,240
43,121
44,212
45,282
46,180
47,5
48,156
49,22
50,99
51,41
52,55
53,106
54,112
55,206
56,260
57,185
58,102
59,45
60,75
61,235
62,77
63,288
64,177
65,233
66,117
67,189
68,71
69,127
70,202
71,213
72,48
73,179
74,88
75,295
76,109
