,nets
0,234
1,249
2,128
3,273
4,5
5,87
6,21
7,246
8,298
9,140
10,110
11,243
12,287
13,37
14,125
15,7
16,224
17,290
18,205
19,113
20,194
21,60
22,81
23,175
24,288
25,86
26,173
27,28
28,179
29,64
30,120
31,30
32,142
33,12
34,112
35,294
36,82
37,109
38,202
39,1
40,31
41,213
42,299
43,247
44,20
45,58
46,159
47,248
48,181
49,129
50,10
51,150
52,55
53,84
54,39
55,291
56,167
57,168
58,183
59,174
60,155
61,57
62,171
63,250
64,75
65,70
66,289
67,3
68,106
69,210
70,133
71,61
72,281
73,63
74,127
75,242
76,124
77,135
78,132
79,295
80,233
81,103
82,121
83,238
