,nets
0,256
1,59
2,199
3,219
4,44
5,77
6,167
7,145
8,215
9,40
10,112
11,220
12,131
13,279
14,216
15,187
16,283
17,154
18,152
19,102
20,132
21,18
22,168
23,110
24,239
25,7
26,107
27,71
28,105
29,101
30,212
31,122
32,160
33,32
34,264
35,27
36,98
37,84
38,291
39,42
40,248
41,30
42,19
43,55
44,31
45,224
46,188
47,104
48,14
49,33
50,193
51,245
52,36
53,49
54,228
55,150
56,93
57,236
58,85
59,206
60,68
61,286
62,116
63,234
64,23
65,135
66,250
67,230
68,251
69,156
70,178
71,48
72,247
73,210
74,217
75,300
76,75
77,295
78,227
79,25
80,127
81,155
82,78
83,139
84,115
