,nets
0,119
1,65
2,203
3,214
4,282
5,16
6,211
7,169
8,209
9,91
10,170
11,41
12,259
13,204
14,116
15,81
16,92
17,184
18,268
19,4
20,241
21,248
22,36
23,26
24,19
25,264
26,210
27,12
28,40
29,201
30,45
31,185
32,80
33,232
34,155
35,9
36,253
37,167
38,50
39,276
40,212
41,124
42,229
43,231
44,295
45,146
46,289
47,34
48,127
49,186
50,142
51,114
52,159
53,14
54,55
55,179
56,161
57,76
58,72
59,257
60,145
61,43
62,236
63,246
64,86
65,267
66,275
67,98
68,280
69,294
70,247
71,113
72,148
73,112
74,198
75,115
76,163
77,44
78,152
79,180
80,97
81,176
82,71
83,99
84,24
85,273
86,144
87,84
88,250
89,102
90,85
91,28
92,149
93,62
94,252
95,290
96,279
