,nets
0,88
1,262
2,208
3,23
4,182
5,209
6,197
7,87
8,259
9,77
10,184
11,185
12,181
13,40
14,139
15,169
16,191
17,94
18,20
19,194
20,214
21,217
22,277
23,144
24,239
25,69
26,270
27,178
28,89
29,205
30,82
31,113
32,174
33,19
34,206
35,65
36,61
37,287
38,1
39,286
40,166
41,103
42,180
43,13
44,199
45,15
46,278
47,189
48,284
49,218
50,242
51,172
52,296
53,263
54,36
55,106
56,276
57,124
58,207
59,26
60,104
61,200
62,224
63,271
64,266
65,108
66,280
67,261
68,47
69,226
70,234
71,192
72,202
73,201
74,299
75,254
76,71
77,173
78,216
79,170
80,138
