,nets
0,75
1,178
2,260
3,7
4,159
5,58
6,50
7,69
8,293
9,167
10,77
11,104
12,100
13,183
14,119
15,222
16,27
17,29
18,291
19,236
20,186
21,295
22,282
23,262
24,246
25,39
26,237
27,225
28,171
29,296
30,175
31,154
32,86
33,114
34,177
35,278
36,220
37,201
38,235
39,221
40,43
41,35
42,195
43,63
44,106
45,199
46,210
47,91
48,107
49,174
50,270
51,263
52,68
53,23
54,300
55,180
56,97
57,108
58,1
59,212
60,218
61,173
62,170
63,3
64,125
65,288
66,22
67,253
68,13
69,148
70,280
71,127
72,16
73,151
74,152
75,70
76,238
