,nets
0,27
1,241
2,207
3,82
4,266
5,155
6,19
7,34
8,101
9,57
10,298
11,87
12,148
13,147
14,154
15,286
16,248
17,253
18,5
19,138
20,249
21,244
22,65
23,212
24,218
25,77
26,280
27,142
28,72
29,274
30,12
31,297
32,43
33,36
34,192
35,129
36,21
37,179
38,117
39,209
40,172
41,111
42,300
43,219
44,226
45,127
46,64
47,89
48,281
49,292
50,83
51,239
52,233
53,291
54,220
55,55
56,8
57,133
58,33
59,23
60,210
61,171
62,206
63,269
64,99
65,120
66,211
67,173
68,76
69,232
70,130
71,71
72,271
73,162
74,70
75,238
76,149
77,112
78,153
79,156
80,194
81,102
82,38
83,135
84,163
