,nets
0,19
1,279
2,290
3,162
4,230
5,161
6,242
7,213
8,3
9,215
10,136
11,8
12,26
13,194
14,10
15,153
16,118
17,299
18,205
19,159
20,27
21,6
22,270
23,50
24,271
25,142
26,284
27,218
28,115
29,31
30,145
31,140
32,266
33,277
34,173
35,21
36,22
37,73
38,132
39,29
40,296
41,67
42,129
43,139
44,226
45,30
46,65
47,170
48,33
49,92
50,163
51,214
52,255
53,94
54,81
55,89
56,2
57,203
58,207
59,116
60,235
61,167
62,144
63,232
64,55
65,58
66,257
67,252
68,264
69,166
70,156
71,117
72,268
73,72
74,258
75,201
76,267
77,48
78,285
79,193
80,222
81,185
82,197
83,57
84,100
85,20
86,7
