,nets
0,106
1,120
2,248
3,127
4,292
5,206
6,179
7,220
8,197
9,27
10,124
11,149
12,152
13,244
14,76
15,273
16,180
17,111
18,245
19,192
20,42
21,218
22,217
23,128
24,158
25,23
26,162
27,129
28,130
29,91
30,253
31,92
32,37
33,7
34,169
35,274
36,283
37,48
38,105
39,199
40,205
41,287
42,30
43,230
44,123
45,258
46,284
47,262
48,250
49,295
50,291
51,107
52,177
53,288
54,259
55,117
56,285
57,298
58,44
59,194
60,260
61,211
62,113
63,101
64,58
65,98
66,63
67,243
68,72
69,21
70,125
71,277
72,32
73,207
74,256
75,231
76,209
77,166
78,203
79,294
80,148
81,251
82,19
