,nets
0,80
1,115
2,76
3,19
4,275
5,154
6,183
7,287
8,156
9,143
10,27
11,263
12,276
13,92
14,29
15,100
16,117
17,121
18,39
19,144
20,241
21,249
22,97
23,136
24,85
25,1
26,160
27,4
28,225
29,122
30,57
31,248
32,42
33,218
34,204
35,288
36,246
37,118
38,166
39,164
40,5
41,195
42,283
43,14
44,208
45,236
46,296
47,35
48,169
49,231
50,199
51,105
52,265
53,70
54,165
55,243
56,129
57,151
58,146
59,21
60,18
61,184
62,206
63,284
64,123
65,202
66,44
67,75
68,286
69,270
70,262
71,189
72,274
73,253
74,282
75,16
76,147
77,120
78,67
79,155
80,174
81,45
82,47
83,58
84,36
85,37
86,84
87,6
88,55
89,145
90,252
91,186
92,179
93,40
94,191
