,nets
0,169
1,184
2,98
3,108
4,44
5,149
6,77
7,245
8,93
9,7
10,78
11,145
12,21
13,106
14,43
15,226
16,72
17,243
18,100
19,53
20,232
21,109
22,193
23,120
24,249
25,164
26,165
27,68
28,209
29,10
30,178
31,46
32,177
33,202
34,127
35,34
36,279
37,55
38,285
39,251
40,151
41,79
42,295
43,6
44,157
45,267
46,207
47,32
48,180
49,290
50,214
51,300
52,118
53,219
54,63
55,122
56,213
57,299
58,218
59,171
60,182
61,175
62,142
63,64
64,227
65,42
66,205
67,61
68,269
69,28
70,270
71,86
72,287
73,159
74,20
75,110
76,273
