,nets
0,56
1,150
2,300
3,6
4,145
5,71
6,182
7,229
8,132
9,296
10,224
11,177
12,218
13,259
14,217
15,257
16,186
17,119
18,102
19,51
20,268
21,292
22,291
23,9
24,40
25,111
26,289
27,17
28,87
29,5
30,282
31,139
32,181
33,37
34,279
35,93
36,213
37,165
38,61
39,41
40,10
41,140
42,298
43,54
44,251
45,32
46,270
47,98
48,263
49,189
50,260
51,232
52,4
53,253
54,97
55,171
56,199
57,285
58,280
59,266
60,13
61,196
62,83
63,287
64,162
65,26
66,236
67,277
68,211
69,258
70,161
71,91
72,244
73,220
74,23
75,100
76,160
77,79
78,77
79,38
80,269
81,107
82,90
83,126
84,96
85,154
86,82
87,206
88,94
89,219
90,62
91,24
