,nets
0,115
1,201
2,277
3,34
4,299
5,13
6,224
7,123
8,184
9,207
10,208
11,118
12,18
13,58
14,206
15,75
16,113
17,43
18,156
19,138
20,190
21,226
22,165
23,143
24,222
25,60
26,218
27,256
28,192
29,240
30,295
31,202
32,108
33,211
34,157
35,242
36,53
37,155
38,40
39,195
40,146
41,65
42,31
43,51
44,236
45,178
46,279
47,96
48,11
49,204
50,79
51,106
52,89
53,250
54,284
55,46
56,173
57,63
58,82
59,56
60,213
61,198
62,196
63,216
64,193
65,144
66,29
67,239
68,45
69,293
70,52
71,103
72,255
73,98
74,253
75,290
76,62
77,33
78,287
79,234
80,20
81,147
82,191
83,270
84,42
85,223
86,92
87,151
88,74
89,120
90,2
91,273
92,257
93,245
94,71
95,181
96,4
97,168
98,132
