,nets
0,121
1,127
2,274
3,277
4,217
5,83
6,43
7,5
8,169
9,270
10,184
11,145
12,180
13,123
14,156
15,4
16,218
17,82
18,159
19,143
20,283
21,8
22,108
23,164
24,291
25,116
26,215
27,58
28,216
29,21
30,249
31,120
32,60
33,146
34,268
35,168
36,37
37,39
38,250
39,41
40,158
41,125
42,182
43,71
44,20
45,212
46,166
47,226
48,175
49,289
50,293
51,162
52,265
53,139
54,11
55,179
56,62
57,132
58,3
59,36
60,239
61,134
62,2
63,61
64,109
65,112
66,107
67,245
68,78
69,201
70,256
71,264
72,34
73,147
74,204
75,253
76,90
77,100
78,66
79,227
80,1
81,48
82,260
83,26
84,88
85,104
86,38
87,75
88,300
89,76
90,243
91,213
92,70
93,56
