,nets
0,187
1,149
2,182
3,279
4,188
5,148
6,49
7,119
8,224
9,206
10,297
11,117
12,80
13,220
14,273
15,81
16,183
17,294
18,239
19,46
20,58
21,172
22,47
23,161
24,138
25,165
26,12
27,110
28,126
29,242
30,19
31,90
32,201
33,266
34,6
35,249
36,111
37,112
38,131
39,71
40,54
41,77
42,228
43,225
44,13
45,43
46,41
47,2
48,236
49,20
50,11
51,132
52,40
53,10
54,197
55,27
56,145
57,140
58,44
59,281
60,87
61,271
62,89
63,31
64,261
65,55
66,136
67,170
68,203
69,35
70,159
71,232
72,272
73,124
74,254
75,36
76,260
77,212
78,173
79,171
80,229
81,179
82,164
83,121
84,144
85,147
86,78
87,286
