,nets
0,15
1,96
2,156
3,131
4,4
5,164
6,288
7,165
8,143
9,269
10,225
11,275
12,52
13,10
14,274
15,140
16,153
17,56
18,80
19,102
20,177
21,189
22,289
23,101
24,162
25,17
26,237
27,203
28,38
29,48
30,142
31,228
32,171
33,250
34,69
35,192
36,217
37,290
38,286
39,25
40,79
41,105
42,294
43,95
44,85
45,252
46,249
47,283
48,258
49,36
50,82
51,211
52,22
53,134
54,32
55,70
56,86
57,60
58,130
59,11
60,232
61,180
62,253
63,67
64,31
65,129
66,37
67,174
68,24
69,160
70,267
71,151
72,199
73,263
74,256
75,285
76,158
77,114
78,190
79,230
80,115
81,108
82,244
83,208
84,128
85,234
86,59
87,110
88,200
89,100
90,65
91,30
92,206
