,nets
0,151
1,183
2,295
3,15
4,220
5,176
6,96
7,45
8,23
9,189
10,138
11,222
12,67
13,90
14,155
15,297
16,212
17,299
18,64
19,167
20,54
21,17
22,77
23,53
24,2
25,233
26,85
27,48
28,289
29,149
30,21
31,230
32,217
33,108
34,47
35,251
36,194
37,243
38,254
39,6
40,273
41,245
42,241
43,284
44,66
45,115
46,279
47,271
48,300
49,216
50,130
51,33
52,159
53,280
54,46
55,50
56,29
57,127
58,211
59,166
60,88
61,244
62,262
63,11
64,44
65,56
66,73
67,121
68,172
69,82
70,174
71,263
72,287
73,201
74,221
75,258
76,7
77,102
78,175
79,76
80,25
81,1
82,135
83,282
84,106
85,190
86,293
87,192
88,160
89,257
