,nets
0,73
1,64
2,119
3,2
4,130
5,239
6,139
7,141
8,223
9,81
10,72
11,211
12,140
13,192
14,136
15,23
16,11
17,124
18,55
19,265
20,42
21,220
22,283
23,262
24,13
25,39
26,266
27,246
28,128
29,74
30,245
31,79
32,17
33,137
34,167
35,219
36,261
37,101
38,21
39,113
40,160
41,93
42,118
43,70
44,184
45,212
46,122
47,238
48,35
49,227
50,61
51,63
52,80
53,132
54,256
55,252
56,215
57,102
58,230
59,284
60,249
61,126
62,208
63,193
64,213
65,3
66,47
67,165
68,5
69,175
70,19
71,242
72,218
73,147
74,282
75,91
76,253
77,34
78,143
79,117
80,131
81,56
82,207
83,8
