,nets
0,211
1,47
2,128
3,292
4,24
5,173
6,266
7,227
8,231
9,62
10,101
11,134
12,181
13,296
14,191
15,278
16,71
17,140
18,234
19,103
20,247
21,77
22,94
23,206
24,124
25,224
26,262
27,217
28,154
29,7
30,287
31,12
32,91
33,245
34,36
35,235
36,142
37,182
38,167
39,150
40,164
41,133
42,284
43,66
44,174
45,29
46,237
47,215
48,9
49,205
50,67
51,189
52,69
53,251
54,289
55,50
56,89
57,84
58,230
59,248
60,5
61,271
62,184
63,239
64,226
65,87
66,85
67,244
68,208
69,261
70,41
71,153
72,126
73,290
74,252
75,218
76,105
77,65
78,158
79,157
80,4
81,37
82,257
83,31
84,193
85,209
86,172
87,192
88,15
89,250
90,199
