,nets
0,79
1,164
2,172
3,92
4,95
5,205
6,152
7,157
8,147
9,143
10,47
11,175
12,184
13,272
14,294
15,26
16,247
17,285
18,70
19,178
20,255
21,239
22,154
23,89
24,76
25,189
26,176
27,174
28,290
29,72
30,85
31,298
32,126
33,227
34,130
35,191
36,230
37,149
38,245
39,153
40,203
41,38
42,58
43,277
44,218
45,132
46,61
47,271
48,244
49,22
50,283
51,16
52,106
53,232
54,261
55,88
56,288
57,190
58,187
59,7
60,103
61,37
62,116
63,57
64,287
65,80
66,65
67,163
68,150
69,34
70,117
71,156
72,13
73,123
74,60
75,15
76,295
77,8
78,168
79,167
80,177
81,180
82,136
83,264
84,23
85,6
86,242
87,211
88,129
89,111
90,183
91,139
92,98
93,120
94,160
95,94
96,108
97,182
