,nets
0,119
1,159
2,239
3,190
4,156
5,194
6,285
7,291
8,127
9,249
10,276
11,22
12,223
13,154
14,288
15,282
16,17
17,77
18,12
19,269
20,235
21,268
22,155
23,102
24,112
25,116
26,216
27,248
28,207
29,185
30,295
31,50
32,124
33,69
34,75
35,266
36,273
37,173
38,212
39,218
40,105
41,199
42,44
43,132
44,125
45,81
46,250
47,215
48,63
49,68
50,220
51,56
52,202
53,228
54,137
55,245
56,219
57,180
58,145
59,46
60,234
61,233
62,8
63,143
64,229
65,74
66,225
67,192
68,287
69,170
70,196
71,191
72,62
73,148
74,54
75,133
76,138
77,19
78,278
79,9
80,296
81,189
82,90
83,70
84,177
85,97
86,256
87,176
88,151
89,34
90,55
91,26
92,236
93,131
94,13
95,246
96,166
