,nets
0,196
1,117
2,4
3,239
4,183
5,292
6,124
7,94
8,207
9,200
10,97
11,262
12,87
13,242
14,111
15,221
16,220
17,214
18,222
19,234
20,267
21,19
22,211
23,273
24,164
25,229
26,166
27,144
28,296
29,217
30,251
31,139
32,170
33,69
34,186
35,297
36,110
37,238
38,212
39,243
40,98
41,13
42,78
43,112
44,276
45,191
46,57
47,145
48,30
49,20
50,3
51,127
52,165
53,263
54,35
55,176
56,255
57,175
58,93
59,16
60,154
61,21
62,37
63,281
64,146
65,258
66,210
67,43
68,193
69,137
70,184
71,151
72,79
73,254
74,22
75,90
76,56
77,34
78,49
