,nets
0,199
1,105
2,14
3,47
4,43
5,64
6,210
7,84
8,132
9,272
10,90
11,185
12,130
13,296
14,46
15,145
16,11
17,182
18,135
19,298
20,10
21,159
22,57
23,249
24,257
25,255
26,213
27,98
28,236
29,300
30,74
31,286
32,148
33,217
34,71
35,289
36,33
37,244
38,30
39,50
40,221
41,76
42,251
43,193
44,172
45,69
46,152
47,97
48,215
49,239
50,149
51,160
52,116
53,136
54,91
55,102
56,141
57,216
58,230
59,70
60,274
61,291
62,297
63,177
64,273
65,165
66,266
67,150
68,24
69,179
70,155
71,142
72,278
73,228
74,181
75,4
76,88
77,290
78,92
79,5
80,40
