,nets
0,32
1,189
2,181
3,44
4,277
5,199
6,37
7,117
8,160
9,297
10,29
11,124
12,229
13,63
14,62
15,256
16,257
17,116
18,123
19,163
20,76
21,216
22,157
23,127
24,264
25,155
26,263
27,40
28,153
29,250
30,271
31,238
32,53
33,103
34,260
35,60
36,93
37,194
38,274
39,232
40,57
41,164
42,223
43,90
44,77
45,289
46,249
47,119
48,227
49,25
50,254
51,284
52,242
53,253
54,275
55,101
56,298
57,131
58,97
59,24
60,291
61,203
62,95
63,121
64,141
65,146
66,74
67,50
68,137
69,287
70,165
71,214
72,66
73,58
74,16
75,180
76,73
77,282
78,295
79,69
80,134
81,278
82,35
83,190
84,54
85,217
86,92
87,215
88,64
89,235
90,148
