,nets
0,39
1,203
2,189
3,45
4,62
5,86
6,162
7,138
8,289
9,140
10,251
11,238
12,58
13,29
14,66
15,242
16,40
17,25
18,153
19,174
20,36
21,71
22,27
23,261
24,143
25,120
26,281
27,185
28,205
29,217
30,111
31,64
32,99
33,93
34,240
35,70
36,154
37,214
38,278
39,55
40,137
41,150
42,244
43,141
44,252
45,202
46,67
47,151
48,156
49,270
50,211
51,83
52,23
53,178
54,6
55,72
56,15
57,188
58,225
59,128
60,207
61,167
62,53
63,208
64,17
65,218
66,201
67,49
68,103
69,227
70,168
71,194
72,279
73,199
74,107
75,77
76,102
77,123
78,54
79,157
80,228
81,296
82,139
83,176
84,254
85,135
86,219
87,191
88,89
89,68
90,206
91,108
92,274
93,1
94,41
95,101
