,nets
0,54
1,165
2,274
3,31
4,163
5,228
6,264
7,285
8,152
9,242
10,277
11,150
12,222
13,61
14,249
15,39
16,255
17,179
18,204
19,287
20,157
21,28
22,99
23,288
24,41
25,87
26,34
27,56
28,30
29,272
30,49
31,253
32,229
33,73
34,51
35,153
36,169
37,168
38,133
39,40
40,145
41,276
42,67
43,220
44,283
45,43
46,239
47,112
48,103
49,206
50,69
51,132
52,268
53,176
54,279
55,293
56,205
57,48
58,126
59,275
60,102
61,251
62,154
63,265
64,105
65,273
66,115
67,138
68,160
69,223
70,121
71,185
72,135
73,158
74,131
75,291
76,235
77,74
78,217
79,237
80,267
81,97
82,254
83,42
84,175
85,37
86,36
87,119
