,nets
0,247
1,173
2,34
3,60
4,250
5,276
6,61
7,152
8,40
9,33
10,100
11,155
12,108
13,104
14,275
15,254
16,193
17,219
18,9
19,265
20,89
21,226
22,18
23,177
24,58
25,221
26,144
27,136
28,115
29,103
30,233
31,67
32,109
33,130
34,56
35,47
36,135
37,278
38,19
39,228
40,157
41,174
42,259
43,94
44,234
45,237
46,266
47,216
48,6
49,223
50,291
51,178
52,269
53,230
54,244
55,50
56,134
57,190
58,249
59,51
60,49
61,102
62,133
63,66
64,175
65,246
66,272
67,149
68,290
69,171
70,153
71,37
72,122
73,118
74,162
75,69
76,14
77,83
78,148
79,262
80,139
81,294
82,4
83,192
