,nets
0,270
1,259
2,88
3,55
4,291
5,228
6,221
7,262
8,280
9,30
10,180
11,129
12,2
13,246
14,53
15,257
16,3
17,288
18,194
19,176
20,41
21,255
22,151
23,35
24,211
25,21
26,76
27,157
28,272
29,91
30,233
31,83
32,162
33,18
34,195
35,122
36,293
37,34
38,15
39,86
40,212
41,226
42,140
43,80
44,90
45,215
46,167
47,230
48,43
49,188
50,17
51,143
52,42
53,132
54,258
55,33
56,6
57,134
58,54
59,174
60,139
61,128
62,281
63,209
64,299
65,61
66,29
67,57
68,152
69,62
70,77
71,261
72,241
73,229
74,56
75,286
76,96
77,234
78,160
79,165
80,168
81,175
82,16
83,297
84,203
85,45
86,85
