,nets
0,250
1,105
2,172
3,160
4,240
5,246
6,130
7,114
8,235
9,86
10,121
11,55
12,187
13,262
14,38
15,104
16,221
17,279
18,13
19,232
20,201
21,275
22,291
23,34
24,141
25,228
26,263
27,227
28,40
29,62
30,65
31,66
32,243
33,152
34,103
35,85
36,205
37,288
38,193
39,290
40,247
41,299
42,214
43,224
44,230
45,92
46,126
47,82
48,67
49,39
50,9
51,225
52,181
53,189
54,270
55,273
56,194
57,292
58,135
59,191
60,237
61,1
62,278
63,31
64,37
65,295
66,170
67,127
68,91
69,239
70,253
71,272
72,223
73,46
74,178
75,207
76,157
77,29
78,168
79,151
80,133
81,245
82,3
83,50
84,286
85,159
86,45
87,99
88,131
89,252
