,nets
0,24
1,286
2,216
3,102
4,227
5,10
6,16
7,23
8,112
9,129
10,289
11,244
12,67
13,158
14,272
15,12
16,28
17,19
18,148
19,190
20,134
21,117
22,234
23,281
24,178
25,252
26,37
27,54
28,245
29,172
30,91
31,42
32,159
33,250
34,210
35,146
36,233
37,204
38,279
39,288
40,92
41,274
42,169
43,157
44,137
45,33
46,162
47,68
48,81
49,196
50,224
51,243
52,31
53,113
54,292
55,205
56,268
57,267
58,125
59,94
60,76
61,121
62,95
63,52
64,296
65,258
66,22
67,211
68,218
69,7
70,114
71,5
72,103
73,149
74,235
75,142
76,150
77,120
78,147
79,183
80,115
81,11
82,18
83,212
84,21
85,66
86,285
87,253
88,27
89,141
90,163
