,nets
0,89
1,23
2,230
3,193
4,245
5,181
6,200
7,153
8,125
9,281
10,289
11,198
12,13
13,233
14,217
15,231
16,147
17,197
18,53
19,139
20,283
21,222
22,90
23,24
24,227
25,1
26,10
27,215
28,276
29,170
30,249
31,219
32,161
33,100
34,116
35,261
36,51
37,220
38,211
39,148
40,250
41,92
42,86
43,133
44,32
45,145
46,221
47,119
48,166
49,190
50,238
51,252
52,38
53,130
54,270
55,8
56,204
57,62
58,150
59,18
60,84
61,297
62,174
63,162
64,277
65,108
66,123
67,61
68,17
69,141
70,207
71,56
72,164
73,43
74,102
75,232
76,131
77,19
78,158
79,177
80,263
81,291
82,254
83,66
84,152
85,3
86,272
87,14
88,202
89,70
90,184
91,218
92,196
