,nets
0,88
1,240
2,97
3,72
4,200
5,83
6,108
7,13
8,192
9,125
10,255
11,103
12,118
13,162
14,126
15,189
16,25
17,110
18,69
19,204
20,275
21,9
22,50
23,264
24,227
25,156
26,238
27,253
28,175
29,280
30,137
31,177
32,51
33,150
34,55
35,300
36,199
37,113
38,82
39,129
40,128
41,286
42,245
43,142
44,222
45,1
46,176
47,285
48,20
49,41
50,290
51,98
52,254
53,5
54,166
55,178
56,141
57,212
58,170
59,242
60,132
61,190
62,226
63,38
64,235
65,93
66,249
67,258
68,239
69,11
70,140
71,45
72,291
73,62
74,220
75,146
76,232
77,136
78,153
