,nets
0,219
1,106
2,132
3,12
4,13
5,258
6,232
7,7
8,263
9,213
10,138
11,242
12,87
13,124
14,227
15,251
16,179
17,282
18,182
19,15
20,245
21,62
22,276
23,116
24,291
25,293
26,150
27,209
28,66
29,5
30,114
31,115
32,208
33,81
34,162
35,134
36,109
37,261
38,107
39,186
40,80
41,76
42,299
43,148
44,74
45,145
46,212
47,264
48,158
49,129
50,221
51,104
52,125
53,247
54,207
55,37
56,54
57,196
58,164
59,262
60,111
61,223
62,277
63,205
64,152
65,165
66,45
67,241
68,270
69,135
70,70
71,265
72,130
73,184
74,180
75,237
76,146
77,275
78,285
79,86
80,300
81,108
82,289
83,168
84,38
85,225
86,40
87,216
88,198
89,47
90,11
91,151
92,19
93,220
94,260
