,nets
0,295
1,95
2,268
3,124
4,99
5,17
6,202
7,115
8,102
9,136
10,28
11,130
12,158
13,55
14,284
15,104
16,120
17,223
18,160
19,75
20,126
21,60
22,299
23,189
24,238
25,68
26,42
27,10
28,280
29,52
30,235
31,222
32,263
33,193
34,179
35,187
36,256
37,261
38,41
39,45
40,134
41,9
42,278
43,123
44,101
45,254
46,183
47,300
48,250
49,6
50,2
51,173
52,71
53,107
54,161
55,197
56,195
57,170
58,289
59,190
60,291
61,127
62,196
63,177
64,16
65,221
66,98
67,178
68,241
69,117
70,279
71,143
72,200
73,89
74,275
75,74
76,153
77,192
78,33
79,44
80,23
81,70
82,34
83,152
84,109
85,157
86,135
87,266
88,226
89,18
90,8
91,11
