,nets
0,194
1,67
2,272
3,279
4,13
5,259
6,294
7,135
8,228
9,245
10,164
11,269
12,60
13,287
14,281
15,107
16,224
17,256
18,87
19,59
20,66
21,238
22,35
23,209
24,22
25,70
26,160
27,73
28,100
29,128
30,181
31,82
32,266
33,300
34,159
35,18
36,222
37,105
38,208
39,248
40,199
41,237
42,6
43,200
44,284
45,275
46,154
47,183
48,1
49,36
50,218
51,186
52,92
53,2
54,20
55,4
56,71
57,192
58,108
59,113
60,293
61,64
62,187
63,244
64,142
65,243
66,291
67,23
68,44
69,39
70,299
71,216
72,219
73,110
74,28
75,30
76,213
77,120
78,131
79,172
80,252
81,26
82,109
83,72
84,190
85,234
86,27
87,17
88,103
