,Unnamed: 0,x,y,class,realclass
44,44,0.0155030510401023,0.2485798307445116,0,1
104,104,0.8465615080072596,0.07895562714808257,1,1
28,28,0.7012736172332479,0.07182774189393948,0,1
68,68,0.9129793664968484,0.13001048954005956,1,1
76,76,0.8978597303169521,0.19890666689344286,1,1
34,34,0.7033197579781679,0.17581464706318572,0,1
100,100,0.8660139862794075,0.7736533783977599,0,0
72,72,0.7054353557418328,0.01703860249432665,1,1
0,0,0.020960225406117416,0.7737893602916518,1,0
62,62,0.755152080700534,0.9777708116902456,0,0
48,48,0.5359957138140486,0.27891151502184885,1,1
50,50,0.2624955090882962,0.298547723414104,0,0
36,36,0.4082342548346405,0.4392908274577096,1,0
88,88,0.14566607255308062,0.06373439286187332,1,1
112,112,0.3713402651798032,0.07383187256388046,1,1
8,8,0.22647529063859465,0.7289548844129679,1,0
14,14,0.6308905941545847,0.5064476986467743,0,1
76,76,0.8978597303169521,0.19890666689344286,1,1
20,20,0.07008015635852494,0.6811053320620737,1,0
36,36,0.4082342548346405,0.4392908274577096,1,0
28,28,0.7012736172332479,0.07182774189393948,0,1
16,16,0.9448645291386912,0.01120348606530952,0,1
104,104,0.8465615080072596,0.07895562714808257,1,1
20,20,0.07008015635852494,0.6811053320620737,1,0
4,4,0.9307729610869862,0.8490165086112005,1,0
20,20,0.07008015635852494,0.6811053320620737,1,0
20,20,0.07008015635852494,0.6811053320620737,1,0
34,34,0.7033197579781679,0.17581464706318572,0,1
42,42,0.26964017531849394,0.6030272800276109,1,0
46,46,0.6681552358686719,0.2810706564264851,0,1
30,30,0.028406023241866807,0.9918999557552668,1,0
24,24,0.4376553290522922,0.2959744170692191,1,0
102,102,0.4713286408490993,0.8512774309357568,0,0
58,58,0.948893654079616,0.6110360575087446,1,1
116,116,0.9635873290356904,0.7629463875627694,0,0
0,0,0.020960225406117416,0.7737893602916518,1,0
42,42,0.26964017531849394,0.6030272800276109,1,0
102,102,0.4713286408490993,0.8512774309357568,0,0
44,44,0.0155030510401023,0.2485798307445116,0,1
4,4,0.9307729610869862,0.8490165086112005,1,0
30,30,0.028406023241866807,0.9918999557552668,1,0
78,78,0.172100646942701,0.2398086935337411,1,1
80,80,0.02404432716741212,0.3136361609077407,1,1
96,96,0.6300640766411579,0.7875035828108031,0,0
84,84,0.7926854223570428,0.7851512371499222,0,0
76,76,0.8978597303169521,0.19890666689344286,1,1
46,46,0.6681552358686719,0.2810706564264851,0,1
26,26,0.473397081648166,0.06254653022966916,0,1
12,12,0.3873081336593579,0.31845368366491755,1,0
54,54,0.5014738887016406,0.9589815068811964,0,0
28,28,0.7012736172332479,0.07182774189393948,0,1
4,4,0.9307729610869862,0.8490165086112005,1,0
38,38,0.621758183507342,0.7782015678254757,1,0
24,24,0.4376553290522922,0.2959744170692191,1,0
110,110,0.8235890696917083,0.9754936679436768,0,0
46,46,0.6681552358686719,0.2810706564264851,0,1
104,104,0.8465615080072596,0.07895562714808257,1,1
54,54,0.5014738887016406,0.9589815068811964,0,0
72,72,0.7054353557418328,0.01703860249432665,1,1
70,70,0.06203326777409135,0.4629425414683851,0,0
