,nets
0,175
1,29
2,206
3,291
4,90
5,36
6,273
7,257
8,68
9,110
10,114
11,241
12,70
13,290
14,165
15,263
16,71
17,153
18,19
19,74
20,121
21,47
22,234
23,148
24,18
25,13
26,255
27,185
28,282
29,202
30,162
31,10
32,82
33,245
34,210
35,46
36,197
37,38
38,230
39,280
40,128
41,228
42,9
43,266
44,199
45,260
46,218
47,237
48,239
49,268
50,51
51,64
52,166
53,196
54,222
55,107
56,294
57,15
58,34
59,151
60,156
61,201
62,61
63,16
64,133
65,26
66,58
67,167
68,299
69,130
70,235
71,65
72,181
73,169
74,52
75,139
76,297
77,76
78,53
79,88
80,192
81,78
82,238
83,117
84,66
85,79
86,2
87,104
88,195
89,163
90,233
