,nets
0,237
1,124
2,277
3,87
4,140
5,288
6,184
7,84
8,19
9,106
10,12
11,120
12,210
13,162
14,13
15,49
16,60
17,103
18,59
19,280
20,208
21,61
22,66
23,219
24,200
25,150
26,9
27,297
28,263
29,149
30,91
31,229
32,53
33,225
34,178
35,189
36,14
37,228
38,82
39,65
40,186
41,32
42,170
43,222
44,37
45,86
46,107
47,232
48,201
49,57
50,223
51,193
52,108
53,118
54,89
55,142
56,126
57,137
58,176
59,56
60,110
61,117
62,243
63,214
64,285
65,180
66,104
67,250
68,212
69,38
70,54
71,298
72,195
73,287
74,173
75,154
76,209
77,4
78,191
79,290
80,11
81,2
82,135
83,204
84,293
85,46
86,151
87,236
