,nets
0,213
1,95
2,41
3,12
4,70
5,78
6,194
7,39
8,152
9,56
10,82
11,114
12,176
13,189
14,137
15,113
16,151
17,244
18,254
19,227
20,289
21,204
22,14
23,55
24,171
25,237
26,199
27,190
28,57
29,267
30,257
31,54
32,51
33,230
34,255
35,259
36,101
37,85
38,34
39,181
40,135
41,162
42,23
43,208
44,273
45,163
46,290
47,193
48,20
49,295
50,104
51,192
52,283
53,164
54,285
55,172
56,287
57,31
58,1
59,96
60,17
61,48
62,177
63,160
64,8
65,299
66,197
67,134
68,184
69,293
70,88
71,220
72,161
73,253
74,122
75,118
76,66
77,99
78,174
79,270
80,243
81,22
82,81
83,144
84,28
85,278
86,13
87,186
88,169
89,79
90,282
91,262
92,133
