,nets
0,44
1,160
2,11
3,25
4,255
5,96
6,133
7,89
8,147
9,244
10,221
11,102
12,299
13,151
14,265
15,51
16,297
17,167
18,69
19,287
20,243
21,161
22,115
23,85
24,262
25,4
26,61
27,5
28,120
29,40
30,187
31,58
32,205
33,162
34,197
35,24
36,242
37,228
38,19
39,79
40,13
41,269
42,68
43,154
44,260
45,2
46,230
47,238
48,273
49,276
50,240
51,248
52,168
53,191
54,283
55,163
56,253
57,134
58,189
59,72
60,158
61,215
62,207
63,257
64,164
65,203
66,3
67,139
68,142
69,278
70,211
71,213
72,98
73,112
74,33
75,15
76,82
77,117
78,296
