,nets
0,271
1,264
2,285
3,47
4,287
5,1
6,297
7,9
8,95
9,49
10,201
11,166
12,220
13,137
14,30
15,127
16,138
17,91
18,225
19,155
20,126
21,244
22,237
23,65
24,106
25,131
26,266
27,143
28,124
29,103
30,151
31,61
32,60
33,42
34,99
35,211
36,82
37,108
38,205
39,54
40,226
41,41
42,261
43,257
44,123
45,85
46,37
47,239
48,122
49,33
50,202
51,272
52,4
53,165
54,277
55,129
56,53
57,173
58,46
59,168
60,274
61,265
62,216
63,188
64,38
65,10
66,236
67,93
68,163
69,80
70,240
71,132
72,232
73,109
74,136
75,146
76,21
77,262
78,39
79,238
80,134
81,140
82,141
83,170
84,252
85,246
