,nets
0,152
1,199
2,294
3,198
4,136
5,234
6,290
7,53
8,66
9,18
10,247
11,70
12,49
13,104
14,206
15,137
16,184
17,296
18,271
19,140
20,151
21,288
22,33
23,9
24,109
25,77
26,100
27,261
28,50
29,174
30,88
31,123
32,107
33,3
34,252
35,89
36,168
37,213
38,265
39,86
40,193
41,116
42,154
43,4
44,260
45,91
46,15
47,16
48,24
49,76
50,101
51,119
52,211
53,25
54,78
55,139
56,201
57,277
58,239
59,276
60,120
61,254
62,148
63,55
64,185
65,248
66,178
67,130
68,222
69,195
70,21
71,87
72,242
73,143
74,2
75,229
76,8
77,83
78,133
79,274
80,141
81,99
82,175
83,272
84,142
85,278
86,153
