,nets
0,47
1,52
2,171
3,173
4,236
5,96
6,65
7,72
8,226
9,126
10,98
11,105
12,119
13,156
14,279
15,110
16,213
17,231
18,6
19,210
20,94
21,50
22,299
23,111
24,262
25,266
26,211
27,36
28,205
29,153
30,37
31,245
32,256
33,166
34,289
35,79
36,161
37,3
38,10
39,49
40,296
41,4
42,35
43,232
44,292
45,177
46,62
47,272
48,184
49,53
50,201
51,139
52,84
53,288
54,264
55,82
56,229
57,145
58,124
59,135
60,91
61,14
62,281
63,24
64,160
65,15
66,198
67,252
68,273
69,280
70,244
71,189
72,234
73,125
74,209
75,109
76,169
77,101
78,117
79,188
80,100
81,278
82,196
83,217
