,nets
0,170
1,211
2,287
3,244
4,172
5,271
6,62
7,55
8,52
9,257
10,10
11,262
12,23
13,274
14,285
15,133
16,177
17,195
18,226
19,115
20,134
21,150
22,284
23,18
24,186
25,24
26,222
27,167
28,169
29,29
30,34
31,236
32,246
33,44
34,77
35,69
36,41
37,221
38,277
39,224
40,141
41,299
42,142
43,76
44,291
45,79
46,140
47,112
48,20
49,245
50,84
51,16
52,30
53,39
54,51
55,35
56,247
57,81
58,138
59,93
60,123
61,58
62,73
63,147
64,253
65,113
66,288
67,240
68,1
69,193
70,154
71,282
72,175
73,66
74,275
75,182
76,281
77,36
78,148
79,90
80,95
81,144
82,249
83,179
84,83
85,161
86,267
87,218
88,130
89,37
90,145
91,196
92,268
93,137
94,232
95,197
96,48
97,67
98,124
