,nets
0,269
1,147
2,112
3,167
4,246
5,88
6,127
7,78
8,12
9,50
10,240
11,218
12,222
13,225
14,196
15,182
16,192
17,191
18,273
19,286
20,117
21,171
22,49
23,29
24,54
25,288
26,231
27,257
28,298
29,155
30,172
31,154
32,199
33,134
34,290
35,102
36,204
37,295
38,235
39,105
40,110
41,232
42,194
43,56
44,106
45,146
46,254
47,58
48,80
49,268
50,51
51,115
52,285
53,53
54,139
55,149
56,36
57,278
58,169
59,227
60,7
61,136
62,211
63,276
64,35
65,168
66,291
67,178
68,114
69,151
70,121
71,111
72,75
73,177
74,283
75,189
76,215
