,nets
0,231
1,86
2,164
3,294
4,222
5,8
6,110
7,230
8,226
9,227
10,126
11,285
12,250
13,280
14,246
15,210
16,41
17,261
18,101
19,77
20,65
21,85
22,7
23,258
24,106
25,24
26,66
27,11
28,295
29,232
30,60
31,64
32,149
33,96
34,71
35,291
36,190
37,15
38,282
39,55
40,289
41,215
42,229
43,23
44,171
45,213
46,276
47,145
48,255
49,84
50,29
51,36
52,221
53,243
54,16
55,10
56,46
57,262
58,236
59,94
60,211
61,152
62,218
63,239
64,111
65,128
66,35
67,273
68,214
69,76
70,90
71,235
72,13
73,281
74,265
75,137
76,284
77,4
78,25
79,62
80,224
81,54
82,263
83,268
84,59
85,183
86,155
87,153
88,228
89,299
90,114
91,253
92,20
93,257
94,100
95,56
96,138
97,70
