,nets
0,123
1,76
2,25
3,253
4,83
5,262
6,75
7,67
8,272
9,192
10,17
11,293
12,81
13,38
14,61
15,282
16,273
17,37
18,173
19,239
20,248
21,71
22,202
23,80
24,224
25,60
26,214
27,216
28,225
29,58
30,200
31,113
32,52
33,77
34,141
35,21
36,105
37,295
38,165
39,286
40,53
41,264
42,35
43,15
44,203
45,132
46,100
47,201
48,106
49,119
50,161
51,13
52,88
53,245
54,164
55,122
56,218
57,121
58,213
59,276
60,149
61,235
62,156
63,133
64,29
65,204
66,45
67,84
68,43
69,14
70,199
71,117
72,194
73,124
74,120
75,163
76,196
