,nets
0,217
1,93
2,64
3,165
4,211
5,296
6,279
7,86
8,274
9,172
10,57
11,49
12,233
13,124
14,148
15,265
16,216
17,189
18,92
19,261
20,45
21,177
22,101
23,214
24,67
25,3
26,55
27,247
28,109
29,181
30,17
31,168
32,113
33,53
34,209
35,190
36,76
37,238
38,75
39,117
40,273
41,218
42,240
43,195
44,229
45,140
46,145
47,134
48,12
49,159
50,123
51,284
52,133
53,150
54,264
55,127
56,60
57,94
58,144
59,2
60,154
61,118
62,182
63,80
64,81
65,128
66,100
67,208
68,167
69,158
70,31
71,26
72,44
73,35
74,290
75,39
