,nets
0,221
1,154
2,203
3,201
4,196
5,15
6,164
7,14
8,109
9,186
10,183
11,73
12,38
13,150
14,141
15,197
16,287
17,96
18,300
19,22
20,234
21,246
22,134
23,91
24,258
25,56
26,89
27,176
28,218
29,21
30,139
31,39
32,126
33,86
34,294
35,13
36,267
37,284
38,266
39,274
40,112
41,222
42,95
43,114
44,100
45,206
46,122
47,163
48,214
49,50
50,120
51,17
52,223
53,184
54,149
55,155
56,169
57,105
58,262
59,58
60,9
61,297
62,145
63,94
64,242
65,64
66,291
67,16
68,18
69,82
70,254
71,199
72,217
73,97
74,135
75,10
76,215
77,80
78,299
79,250
80,268
81,70
82,60
83,232
84,63
85,68
86,192
87,59
88,25
89,188
90,108
91,290
92,45
93,259
94,12
95,67
96,61
97,265
98,144
