,nets
0,274
1,261
2,155
3,6
4,62
5,156
6,72
7,132
8,192
9,124
10,153
11,21
12,178
13,101
14,163
15,228
16,233
17,109
18,289
19,297
20,149
21,40
22,51
23,18
24,131
25,87
26,218
27,216
28,42
29,30
30,28
31,8
32,171
33,64
34,133
35,96
36,27
37,69
38,85
39,99
40,266
41,236
42,165
43,239
44,79
45,12
46,276
47,56
48,45
49,9
50,241
51,166
52,238
53,161
54,4
55,39
56,197
57,54
58,5
59,254
60,142
61,212
62,172
63,210
64,11
65,203
66,144
67,107
68,168
69,138
70,38
71,294
72,3
73,267
74,1
75,63
76,227
77,84
78,189
79,61
80,207
81,252
82,141
83,77
