,nets
0,123
1,276
2,255
3,19
4,251
5,113
6,36
7,213
8,245
9,243
10,17
11,256
12,51
13,199
14,209
15,3
16,193
17,78
18,295
19,180
20,194
21,201
22,89
23,148
24,265
25,216
26,64
27,151
28,162
29,161
30,275
31,159
32,292
33,155
34,190
35,56
36,101
37,300
38,189
39,230
40,246
41,200
42,76
43,181
44,212
45,202
46,14
47,37
48,298
49,135
50,63
51,126
52,103
53,167
54,10
55,92
56,1
57,198
58,18
59,47
60,129
61,293
62,96
63,185
64,157
65,105
66,261
67,16
68,173
69,41
70,242
71,253
72,81
73,31
74,267
75,203
76,210
77,85
78,296
79,168
80,2
81,291
82,69
83,172
84,125
85,121
86,225
87,188
88,132
89,108
90,152
91,28
