,nets
0,109
1,234
2,103
3,107
4,8
5,171
6,192
7,135
8,91
9,280
10,278
11,299
12,224
13,92
14,151
15,282
16,80
17,217
18,26
19,183
20,182
21,95
22,293
23,143
24,284
25,71
26,47
27,131
28,96
29,94
30,144
31,75
32,2
33,23
34,32
35,20
36,84
37,102
38,112
39,42
40,236
41,210
42,186
43,251
44,273
45,152
46,48
47,78
48,155
49,45
50,116
51,283
52,258
53,38
54,57
55,202
56,128
57,276
58,72
59,223
60,108
61,13
62,226
63,194
64,154
65,178
66,65
67,241
68,12
69,160
70,113
71,238
72,170
73,216
74,209
75,255
76,197
77,110
78,138
79,184
80,254
81,22
82,104
83,25
84,64
85,279
86,229
87,4
88,225
89,185
