,nets
0,60
1,66
2,177
3,124
4,28
5,276
6,208
7,7
8,32
9,166
10,106
11,193
12,299
13,226
14,30
15,240
16,85
17,267
18,24
19,100
20,117
21,254
22,112
23,160
24,178
25,203
26,235
27,67
28,49
29,3
30,298
31,63
32,50
33,25
34,73
35,128
36,74
37,182
38,149
39,207
40,196
41,213
42,65
43,129
44,274
45,57
46,86
47,285
48,156
49,111
50,9
51,16
52,31
53,251
54,283
55,287
56,292
57,15
58,40
59,120
60,169
61,153
62,155
63,123
64,48
65,165
66,185
67,273
68,98
69,239
70,91
71,42
72,245
73,248
74,247
75,284
76,163
77,80
