,nets
0,242
1,145
2,250
3,68
4,207
5,56
6,247
7,142
8,76
9,187
10,71
11,90
12,55
13,211
14,65
15,46
16,295
17,138
18,10
19,57
20,157
21,161
22,168
23,20
24,130
25,41
26,192
27,38
28,209
29,202
30,62
31,122
32,276
33,88
34,262
35,32
36,180
37,87
38,33
39,229
40,166
41,277
42,21
43,222
44,286
45,185
46,175
47,109
48,13
49,186
50,197
51,103
52,23
53,208
54,259
55,220
56,254
57,47
58,206
59,158
60,106
61,258
62,11
63,154
64,245
65,127
66,164
67,174
68,152
69,233
70,148
71,95
72,94
73,1
74,143
75,60
76,7
77,193
78,93
79,115
80,126
