,nets
0,218
1,13
2,156
3,185
4,101
5,232
6,57
7,186
8,125
9,69
10,85
11,103
12,70
13,145
14,223
15,166
16,66
17,12
18,268
19,177
20,19
21,100
22,173
23,193
24,214
25,49
26,64
27,174
28,140
29,59
30,293
31,181
32,96
33,131
34,157
35,109
36,48
37,151
38,65
39,126
40,170
41,236
42,77
43,58
44,180
45,72
46,275
47,107
48,61
49,290
50,14
51,246
52,168
53,30
54,196
55,117
56,74
57,31
58,78
59,29
60,98
61,172
62,82
63,278
64,152
65,176
66,209
67,267
68,228
69,211
70,80
71,274
72,163
73,53
74,189
75,42
76,67
77,37
78,161
79,233
80,76
81,28
