,nets
0,230
1,189
2,77
3,204
4,292
5,46
6,101
7,15
8,167
9,274
10,81
11,135
12,273
13,252
14,98
15,140
16,70
17,275
18,3
19,297
20,31
21,272
22,13
23,284
24,262
25,108
26,258
27,249
28,61
29,156
30,23
31,179
32,122
33,105
34,58
35,200
36,207
37,94
38,282
39,57
40,270
41,99
42,96
43,276
44,299
45,235
46,56
47,44
48,112
49,256
50,177
51,239
52,131
53,175
54,263
55,234
56,227
57,14
58,72
59,88
60,217
61,30
62,55
63,203
64,60
65,268
66,278
67,236
68,195
69,164
70,152
71,141
72,280
73,37
74,224
75,6
76,114
77,129
78,10
79,52
80,201
81,42
82,120
83,169
84,298
85,279
86,192
87,283
88,76
89,193
90,215
91,24
92,126
93,208
