,nets
0,167
1,77
2,195
3,138
4,105
5,59
6,179
7,79
8,7
9,134
10,264
11,200
12,220
13,121
14,215
15,156
16,172
17,85
18,295
19,272
20,284
21,64
22,260
23,208
24,211
25,140
26,267
27,244
28,165
29,10
30,249
31,95
32,268
33,262
34,163
35,164
36,20
37,4
38,26
39,274
40,166
41,278
42,97
43,112
44,109
45,287
46,19
47,16
48,202
49,152
50,170
51,69
52,198
53,130
54,48
55,22
56,225
57,137
58,226
59,142
60,219
61,186
62,148
63,258
64,169
65,136
66,283
67,100
68,245
69,194
70,256
71,155
72,290
73,266
74,205
75,199
76,212
77,296
78,28
79,34
80,201
81,154
82,65
83,25
84,50
